date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:49	12212/12212	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Sep%202016%2005:43:43%20GMT	http://hastech.company/tf/academia-preview/academia/ingle-blog.html	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/ingle-blog.63.delayed	(from http://hastech.company/tf/academia-preview/academia/blog.html)
12:43:52	46729/46729	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jan%202016%2023:51:30%20GMT	http://hastech.company/tf/academia-preview/academia/img/404.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/404.png	(from http://hastech.company/tf/academia-preview/academia/404.html)
12:43:59	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2023%20May%202015%2018:30:30%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/Linearicons-Free.eot?w118d	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/Linearicons-Free54e9.eot	(from http://hastech.company/tf/academia-preview/academia/css/linearfont.css)
12:44:00	21780/21780	---M--	200	added ('OK')	text/html	date:Sat,%2023%20May%202015%2018:30:36%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/Linearicons-Free.woff2?w118d	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/Linearicons-Free54e9.html	(from http://hastech.company/tf/academia-preview/academia/css/linearfont.css)
12:44:02	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2023%20May%202015%2018:30:30%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/Linearicons-Free.eot?	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/Linearicons-Freed41d.eot	(from http://hastech.company/tf/academia-preview/academia/css/linearfont.css)
12:44:09	55696/55696	---M--	200	added ('OK')	application/x-font-woff	date:Sat,%2023%20May%202015%2018:30:30%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/Linearicons-Free.woff?w118d	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/Linearicons-Free54e9.woff	(from http://hastech.company/tf/academia-preview/academia/css/linearfont.css)
12:44:10	1010189/1010189	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202016%2015:33:16%20GMT	http://hastech.company/tf/academia-preview/academia/img/home1/book/3.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/home1/book/3.png	(from http://hastech.company/tf/academia-preview/academia/index-3.html)
12:44:12	55620/55620	---M--	200	added ('OK')	application/x-font-ttf	date:Sat,%2023%20May%202015%2018:30:30%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/Linearicons-Free.ttf?w118d	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/Linearicons-Free54e9.ttf	(from http://hastech.company/tf/academia-preview/academia/css/linearfont.css)
12:44:12	205847/205847	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2023%20May%202015%2018:30:30%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/Linearicons-Free.svg?w118d	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/Linearicons-Free54e9.svg	(from http://hastech.company/tf/academia-preview/academia/css/linearfont.css)
12:44:13	18028/18028	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Nov%202015%2018:59:06%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regular.woff2	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regular.html	(from http://hastech.company/tf/academia-preview/academia/css/bootstrap.min.css)
